Date,Hour,Load
1/1/2008,1,151.1
1/1/2008,2,147.8
1/1/2008,3,145.3
1/1/2008,4,144.1
1/1/2008,5,146.5
1/1/2008,6,150.9
1/1/2008,7,156.5
1/1/2008,8,160.1
1/1/2008,9,159
1/1/2008,10,151.3
1/1/2008,11,144.7
1/1/2008,12,138.5
1/1/2008,13,130.2
1/1/2008,14,123.6
1/1/2008,15,118.7
1/1/2008,16,119.3
1/1/2008,17,127.3
1/1/2008,18,155.2
1/1/2008,19,172.6
1/1/2008,20,178
1/1/2008,21,180.5
1/1/2008,22,176.8
1/1/2008,23,169.2
1/1/2008,24,161.6
1/2/2008,1,158.9
1/2/2008,2,160.4
1/2/2008,3,164.2
1/2/2008,4,170.5
1/2/2008,5,180.8
1/2/2008,6,201.3
1/2/2008,7,227.3
1/2/2008,8,233.2
1/2/2008,9,222.7
1/2/2008,10,217.9
1/2/2008,11,213.4
1/2/2008,12,206.6
1/2/2008,13,200.9
1/2/2008,14,197.9
1/2/2008,15,194.1
1/2/2008,16,195.5
1/2/2008,17,210.1
1/2/2008,18,241.4
1/2/2008,19,257
1/2/2008,20,258.4
1/2/2008,21,256.1
1/2/2008,22,248.9
1/2/2008,23,236.3
1/2/2008,24,225.6
1/3/2008,1,220
1/3/2008,2,220.6
1/3/2008,3,223
1/3/2008,4,228
1/3/2008,5,235.8
1/3/2008,6,250.8
1/3/2008,7,276.6
1/3/2008,8,274.9
1/3/2008,9,255.4
1/3/2008,10,239.7
1/3/2008,11,224.8
1/3/2008,12,212.4
1/3/2008,13,202.1
1/3/2008,14,193.5
1/3/2008,15,187.9
1/3/2008,16,191
1/3/2008,17,208
1/3/2008,18,243.3
1/3/2008,19,262.6
1/3/2008,20,267.4
1/3/2008,21,267.9
1/3/2008,22,260.8
1/3/2008,23,248.8
1/3/2008,24,239
1/4/2008,1,234.6
1/4/2008,2,235.1
1/4/2008,3,238.4
1/4/2008,4,242.7
1/4/2008,5,249.3
1/4/2008,6,263.6
1/4/2008,7,289.1
1/4/2008,8,284.9
1/4/2008,9,256
1/4/2008,10,226.2
1/4/2008,11,202.1
1/4/2008,12,184.3
1/4/2008,13,168.4
1/4/2008,14,158.2
1/4/2008,15,151
1/4/2008,16,152.3
1/4/2008,17,167.3
1/4/2008,18,200.6
1/4/2008,19,220.3
1/4/2008,20,225.6
1/4/2008,21,226.5
1/4/2008,22,222.8
1/4/2008,23,215
1/4/2008,24,206.7
1/5/2008,1,201.8
1/5/2008,2,199.4
1/5/2008,3,200.4
1/5/2008,4,202.8
1/5/2008,5,206.4
1/5/2008,6,212.8
1/5/2008,7,220.4
1/5/2008,8,227.5
1/5/2008,9,223.4
1/5/2008,10,206.5
1/5/2008,11,188
1/5/2008,12,172
1/5/2008,13,158.4
1/5/2008,14,150
1/5/2008,15,143.1
1/5/2008,16,144.9
1/5/2008,17,155.5
1/5/2008,18,175.3
1/5/2008,19,183.3
1/5/2008,20,182.4
1/5/2008,21,181.3
1/5/2008,22,175.8
1/5/2008,23,166.1
1/5/2008,24,155
1/6/2008,1,143.6
1/6/2008,2,136.6
1/6/2008,3,133.3
1/6/2008,4,132.7
1/6/2008,5,133.5
1/6/2008,6,137
1/6/2008,7,143.7
1/6/2008,8,155.9
1/6/2008,9,168.5
1/6/2008,10,162.6
1/6/2008,11,142.6
1/6/2008,12,124.4
